"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1175",583713,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-07-23","2019-07-23","Gävle","Gävleborgs Län","",1
"1176",585391,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-17","2019-08-17","Norrköping","Östergötlands Län","",1
"1177",587983,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-04","2019-08-03","Nyköping","Södermanlands Län","",1
"1178",587984,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-04","2019-08-03","Nyköping","Södermanlands Län","",1
"1179",589481,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-07-31","2019-07-31","Göteborg","Västra Götalands Län","",1
"1180",589996,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-07-13","2019-07-13","Göteborg","Västra Götalands Län","",1
"1181",590585,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-07-24","2019-07-24","Eslöv","Skåne Län","",1
"1182",591002,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-01","2019-08-01","Helsingborg","Skåne Län","",1
"1183",591003,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-01","2019-08-01","Helsingborg","Skåne Län","",1
"1184",592494,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-07-20","2019-07-20","Gävle","Gävleborgs Län","",1
"1185",594468,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-21","2019-08-21","Borås","Västra Götalands Län","",1
